iter	Passed	Remaining
475	726	799
476	727	797
477	728	795
478	729	793
479	730	790
480	730	788
481	731	786
482	733	784
483	734	782
484	735	780
485	736	778
486	736	776
487	737	773
488	738	771
489	739	769
490	740	767
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	744	753
497	745	751
498	748	751
499	749	749
500	750	747
501	751	745
502	752	743
503	752	740
504	753	738
505	754	736
506	754	734
507	755	731
508	756	729
509	756	727
510	757	724
511	758	722
512	758	720
513	759	718
514	760	716
515	761	714
516	762	712
517	763	710
518	764	708
519	765	706
520	766	704
521	767	702
522	768	700
523	769	698
524	770	696
525	770	694
526	771	692
527	772	690
528	773	688
529	774	686
530	775	684
531	775	682
532	776	680
533	779	680
534	780	678
535	781	676
536	782	674
537	782	672
538	783	670
539	785	668
540	785	666
541	786	664
542	787	662
543	788	660
544	789	659
545	790	656
546	790	654
547	791	652
548	792	650
549	793	649
550	794	647
551	795	645
552	795	643
553	796	641
554	797	639
555	798	637
556	799	635
557	800	633
558	800	631
559	801	629
560	802	628
561	803	626
562	804	624
563	804	622
564	805	620
565	806	618
566	807	616
567	808	615
568	810	613
569	810	611
570	811	609
571	812	607
572	813	606
573	814	604
574	814	602
575	815	600
576	816	598
577	817	597
578	818	595
579	819	593
580	820	591
581	821	589
582	821	587
583	822	586
584	824	584
585	825	582
586	825	581
587	826	579
588	827	577
589	828	575
590	829	573
591	829	571
592	830	570
593	831	568
594	832	566
595	832	564
596	833	562
597	834	560
598	835	559
599	836	557
600	836	555
601	837	553
602	838	552
603	839	550
604	840	548
605	841	547
606	842	545
607	843	543
608	844	541
609	844	540
610	845	538
611	846	536
612	846	534
613	847	532
614	848	531
615	848	529
616	849	527
617	850	525
618	851	523
619	851	522
620	852	520
621	853	518
622	854	517
623	855	515
624	856	513
625	857	512
626	858	510
627	859	508
628	859	507
629	861	505
630	862	504
631	862	502
632	863	500
633	864	498
634	865	497
635	865	495
636	866	493
637	867	492
638	868	490
639	869	489
640	870	487
641	871	486
642	872	484
643	873	483
644	875	481
645	876	480
646	877	478
647	878	477
648	878	475
649	879	473
650	880	472
651	881	470
652	882	468
653	883	467
654	884	465
655	885	464
656	886	463
657	887	461
658	888	459
659	889	458
660	890	456
661	891	455
662	892	453
663	892	451
664	893	450
665	894	448
666	896	447
667	897	445
668	898	444
669	900	443
670	901	442
671	902	440
672	903	438
673	904	437
674	905	435
675	905	434
676	907	432
677	907	431
678	908	429
679	909	428
680	910	426
681	911	424
682	912	423
683	913	421
684	914	420
685	915	418
686	916	417
687	917	415
688	918	414
689	919	412
690	919	411
691	920	409
692	921	408
693	922	406
694	922	405
695	923	403
696	924	401
697	925	400
698	926	398
699	926	397
700	927	395
701	928	393
702	929	392
703	930	391
704	931	389
705	932	388
706	933	386
707	934	385
708	934	383
709	935	382
710	936	380
711	937	379
712	938	377
713	938	376
714	939	374
715	940	373
716	941	371
717	942	370
718	943	368
719	944	367
720	945	365
721	945	364
722	946	362
723	947	361
724	948	359
725	949	358
726	949	356
727	950	355
728	951	353
729	952	352
730	953	350
731	954	349
732	955	347
733	955	346
734	956	344
735	957	343
736	958	341
737	958	340
738	960	339
739	961	337
740	961	336
741	962	334
742	963	333
743	964	331
744	964	330
745	965	328
746	966	327
747	967	325
748	968	324
749	968	322
750	969	321
751	970	320
752	972	318
753	972	317
754	973	315
755	974	314
756	975	313
757	976	311
758	977	310
759	978	309
760	980	307
761	981	306
762	982	305
763	983	303
764	984	302
765	985	300
766	986	299
767	986	298
768	987	296
769	988	295
770	990	294
771	991	292
772	992	291
773	993	290
774	994	288
775	995	287
776	996	285
777	997	284
778	997	283
779	998	281
780	999	280
781	1000	278
782	1000	277
783	1001	276
784	1002	274
785	1003	273
786	1004	271
787	1005	270
788	1006	269
789	1008	268
790	1010	266
791	1010	265
792	1011	264
793	1012	262
794	1013	261
795	1013	259
796	1014	258
797	1015	257
798	1016	255
799	1016	254
800	1018	252
801	1018	251
802	1019	250
803	1020	248
804	1021	247
805	1022	246
806	1023	244
807	1024	243
808	1025	242
809	1025	240
810	1026	239
811	1027	237
812	1028	236
813	1029	235
814	1030	233
815	1030	232
816	1031	231
817	1032	229
818	1033	228
819	1034	226
820	1034	225
821	1035	224
822	1037	223
823	1038	221
824	1039	220
825	1039	219
826	1040	217
827	1041	216
828	1042	215
829	1043	213
830	1043	212
831	1044	210
832	1045	209
833	1046	208
834	1047	206
835	1048	205
836	1048	204
837	1049	202
838	1050	201
839	1051	200
840	1052	199
841	1053	197
842	1054	196
843	1055	195
844	1055	193
845	1056	192
846	1057	191
847	1058	189
848	1058	188
849	1059	186
850	1060	185
851	1061	184
852	1062	183
853	1063	181
854	1063	180
855	1064	179
856	1065	177
857	1066	176
858	1067	175
859	1068	173
860	1068	172
861	1069	171
862	1070	169
863	1071	168
864	1072	167
865	1073	166
866	1074	164
867	1075	163
868	1076	162
869	1076	160
870	1077	159
871	1078	158
872	1079	156
873	1079	155
874	1081	154
875	1081	153
876	1082	151
877	1084	150
878	1085	149
879	1086	148
880	1086	146
881	1087	145
882	1088	144
883	1089	142
884	1090	141
885	1091	140
886	1092	139
887	1093	137
888	1094	136
889	1095	135
890	1097	134
891	1099	133
892	1100	131
893	1101	130
894	1102	129
895	1103	128
896	1104	126
897	1105	125
898	1106	124
899	1106	122
900	1107	121
901	1108	120
902	1109	119
903	1110	117
904	1112	116
905	1114	115
906	1115	114
907	1116	113
908	1117	111
909	1117	110
910	1118	109
911	1119	108
912	1121	106
913	1122	105
914	1123	104
915	1124	103
916	1125	101
917	1126	100
918	1127	99
919	1128	98
920	1129	96
921	1130	95
922	1131	94
923	1132	93
924	1133	91
925	1136	90
926	1138	89
927	1139	88
928	1140	87
929	1141	85
930	1143	84
931	1144	83
932	1145	82
933	1146	81
934	1146	79
935	1147	78
936	1148	77
937	1150	76
938	1151	74
939	1152	73
940	1153	72
941	1153	71
942	1155	69
943	1157	68
944	1159	67
945	1160	66
946	1161	64
947	1162	63
948	1163	62
949	1165	61
950	1165	60
951	1166	58
952	1167	57
953	1168	56
954	1169	55
955	1172	53
956	1173	52
957	1174	51
958	1175	50
959	1175	48
960	1176	47
961	1177	46
962	1178	45
963	1179	44
964	1180	42
965	1181	41
966	1182	40
967	1182	39
968	1183	37
969	1184	36
970	1185	35
971	1187	34
972	1188	32
973	1189	31
974	1190	30
975	1191	29
976	1192	28
977	1193	26
978	1195	25
979	1195	24
980	1197	23
981	1198	21
982	1199	20
983	1199	19
984	1200	18
985	1201	17
986	1202	15
987	1203	14
988	1204	13
989	1205	12
990	1207	10
991	1209	9
992	1210	8
993	1211	7
994	1212	6
995	1213	4
996	1214	3
997	1214	2
998	1215	1
999	1217	0
